"Year","U.S. Production","Log. Logistic","Log. Gaussian","Reserves"
2350,,"2909040.44459085","9179394.25952312",-962576616
2351,,"2909040.44474464","9190792.72882514",-965485656
2352,,"2909040.44489098","9202171.42785889",-968394697
2353,,"2909040.44503026","9213530.4222316 ",-971303737
2354,,"2909040.4451628 ","9224869.77722581",-974212778
2355,,"2909040.44528893","9236189.55780168",-977121818
2356,,"2909040.44540896","9247489.8285989 ",-980030858
2357,,"2909040.44552318","9258770.65393894",-982939899
2358,,"2909040.44563188","9270032.09782716",-985848939
2359,,"2909040.44573533","9281274.22395465",-988757980
2360,,"2909040.44583376","9292497.09570057",-991667020
2361,,"2909040.44592744","9303700.77613391",-994576061
2362,,"2909040.44601659","9314885.32801571",-997485101
2363,,"2909040.44610143","9326050.81380094",-1000394142
2364,,"2909040.44618216","9337197.29564047",-1003303182
2365,,"2909040.446259  ","9348324.83538314",-1006212223
2366,,"2909040.44633211","9359433.49457755",-1009121263
2367,,"2909040.4464017 ","9370523.33447424",-1012030303
2368,,"2909040.44646791","9381594.4160273 ",-1014939344
2369,,"2909040.44653092","9392646.7998965 ",-1017848384
2370,,"2909040.44659089","9403680.54644907",-1020757425
2371,,"2909040.44664795","9414695.71576167",-1023666465
2372,,"2909040.44670226","9425692.3676221 ",-1026575506
2373,,"2909040.44675394","9436670.56153133",-1029484546
2374,,"2909040.44680312","9447630.35670509",-1032393587
2375,,"2909040.44684992","9458571.81207589",-1035302627
2376,,"2909040.44689447","9469494.98629479",-1038211667
2377,,"2909040.44693685","9480399.93773309",-1041120708
2378,,"2909040.44697719","9491286.72448415",-1044029748
2379,,"2909040.44701557","9502155.40436516",-1046938789
2380,,"2909040.4470521 ","9513006.0349189 ",-1049847829
2381,,"2909040.44708686","9523838.67341539",-1052756870
2382,,"2909040.44711994","9534653.37685376",-1055665910
2383,,"2909040.44715142","9545450.20196374",-1058574951
2384,,"2909040.44718138","9556229.2052075 ",-1061483991
2385,,"2909040.44720989","9566990.44278136",-1064393031
2386,,"2909040.44723702","9577733.97061727",-1067302072
2387,,"2909040.44726284","9588459.8443847 ",-1070211112
2388,,"2909040.44728741","9599168.11949203",-1073120153
2389,,"2909040.44731079","9609858.85108837",-1076029193
2390,,"2909040.44733304","9620532.0940651 ",-1078938234
2391,,"2909040.44735421","9631187.90305741",-1081847274
2392,,"2909040.44737437","9641826.33244609",-1084756315
2393,,"2909040.44739354","9652447.43635873",-1087665355
2394,,"2909040.44741179","9663051.26867179",-1090574395
2395,,"2909040.44742916","9673637.88301167",-1093483436
2396,,"2909040.44744568","9684207.33275655",-1096392476
2397,,"2909040.44746141","9694759.67103779",-1099301517
2398,,"2909040.44747638","9705294.95074149",-1102210557
2399,,"2909040.44749063","9715813.22451005",-1105119598
2400,,"2909040.44750417","9726314.5447435",-1108028638
